,농가명,온도_외부,온도_내부,상대습도_내부,잔존CO2,토양온도
0,2,0.764669163545568,0.764669163545568,0.7802746566791511,12.437578027465667,0.764669163545568
1,4,4.438775510204081,0.3401360544217687,0.3401360544217687,11.428571428571429,0.3401360544217687
2,5,0.0,0.0,0.0,2.9719235364396654,0.0
3,11,1.4508928571428572,9.430803571428571,0.018601190476190476,18.75,24.813988095238095
4,16,13.00906842539159,13.00906842539159,13.00906842539159,18.845836768342952,13.00906842539159
5,17,0.1776485788113695,0.1776485788113695,0.1776485788113695,1.5180878552971577,0.1776485788113695
6,20,0.05490483162518302,0.05490483162518302,0.05490483162518302,0.07320644216691069,0.05490483162518302
7,23,19.79740536698063,19.79740536698063,19.79740536698063,19.832948285054204,19.832948285054204
8,24,4.5405982905982905,4.5584045584045585,22.31125356125356,4.5762108262108265,4.5405982905982905
9,25,25.64959168522643,25.70527097253155,25.64959168522643,25.64959168522643,25.64959168522643
10,26,0.0,0.2670940170940171,17.94871794871795,0.0,0.0
11,31,0.06747638326585695,0.06747638326585695,0.06747638326585695,0.06747638326585695,0.30364372469635625
12,34,0.3024193548387097,0.3024193548387097,0.3024193548387097,2.318548387096774,0.3024193548387097
13,38,0.016600265604249667,0.016600265604249667,0.016600265604249667,0.6806108897742363,58.366533864541836
14,49,0.0,11.392832995267073,11.392832995267073,10.953346855983773,11.392832995267073
15,52,0.12856474988312297,0.33894343151005146,0.12856474988312297,2.9102384291725105,0.12856474988312297
16,51,1.415002907540221,1.4343865090133747,1.415002907540221,7.171932545066874,1.415002907540221
