연번,연도,작기,지역(도),시군,농가명,온실종류,온실유형,품목,품종,총면적,식부면적,재식밀도,정식일,환경데이터,생육데이터,판매데이터
70,2020,1,충북,옥천,2,비닐,단동,딸기,설향,2645,2645,25.6,2020-09-15,유,유,유
72,2020,1,충북,진천,4,비닐,단동,딸기,설향,7730,7730,26.9,2020-09-20,유,유,유
73,2020,1,충북,진천,5,비닐,단동,딸기,설향,6000,2400,31,2020-09-06,유,유,유
86,2020,1,충남,부여,11,비닐,단동,딸기,설향,2400,1400,23,2020-09-15,유,유,유
91,2020,1,충남,논산,16,비닐,연동,딸기,설향,1761,1400,24,2020-09-10,유,유,유
92,2020,1,충남,보령,17,비닐,단동,딸기,설향,1590,1400,33,2020-09-10,유,유,무
112,2020,1,전북,김제,20,비닐,연동,딸기,금실,1500,1400,28.6,2020-09-13,유,유,무
115,2020,1,전북,김제,23,비닐,연동,딸기,금실,2000,1980,29.6,2020-09-08,유,유,유
116,2020,1,전북,남원,24,비닐,연동,딸기,설향,1400,1000,27.5,2020-09-09,유,유,무
117,2020,1,전북,김제,25,비닐,연동,딸기,설향,1000,950,27,2020-09-18,유,유,무
118,2020,1,전북,남원,26,비닐,연동,딸기,설향,1200,1000,33,2020-09-09,유,유,무
147,2020,1,전남,화순,31,비닐,연동,딸기,설향,1200,1000,30,2020-09-15,유,유,유
149,2020,1,전남,화순,34,비닐,단동,딸기,설향,1320,1210,30.3,2020-09-16,유,유,유
153,2020,1,전남,강진,38,비닐,연동,딸기,설향,1600,1450,25,2020-09-15,유,유,유
173,2020,1,경북,포항 ,49,비닐,단동,딸기,설향,3000,2800,25,2020-09-16,유,유,유
205,2020,1,경남,거창,51,비닐,연동,딸기,금실,2000,800,32.5,2020-09-12,유,유,유
206,2020,1,경남,산청,52,비닐,연동,딸기,설향,3600,3000,32.5,2020-06-04,유,유,유
